Fiscal Year,Quarter,Period,NII (₹ Cr),NII QoQ Change (₹ Cr),NII YoY Change (₹ Cr),Net Profit (₹ Cr),PAT QoQ Change (₹ Cr),PAT YoY Change (₹ Cr),Data Source
FY2010,Q1,Apr–Jun 2009,2100,,,878,,,Estimated
FY2010,Q2,Jul–Sep 2009,2079,-21,,1038,160,,Estimated
FY2010,Q3,Oct–Dec 2009,2058,-21,,1101,63,,NII Confirmed; PAT Derived
FY2010,Q4,Jan–Mar 2010,2035,-23,,1008,-93,,Both Confirmed
FY2011,Q1,Apr–Jun 2010,2261,226,161,1026,18,148,Estimated
FY2011,Q2,Jul–Sep 2010,2341,80,262,1236,210,198,Estimated
FY2011,Q3,Oct–Dec 2010,2312,-29,254,1437,201,336,Both Confirmed
FY2011,Q4,Jan–Mar 2011,2510,198,475,1452,15,444,Both Confirmed
FY2012,Q1,Apr–Jun 2011,2580,70,319,1360,-92,334,Estimated
FY2012,Q2,Jul–Sep 2011,2809,229,468,1476,116,240,Estimated
FY2012,Q3,Oct–Dec 2011,2891,82,579,1728,252,291,PAT Confirmed
FY2012,Q4,Jan–Mar 2012,3013,122,503,1902,174,450,PAT Confirmed
FY2013,Q1,Apr–Jun 2012,3184,171,604,1815,-87,455,PAT Confirmed
FY2013,Q2,Jul–Sep 2012,3329,145,520,1916,101,440,Estimated
FY2013,Q3,Oct–Dec 2012,3610,281,719,2290,374,562,Estimated
FY2013,Q4,Jan–Mar 2013,3877,267,864,2304,14,402,PAT Confirmed
FY2014,Q1,Apr–Jun 2013,3820,-57,636,2274,-30,459,Both Confirmed
FY2014,Q2,Jul–Sep 2013,4033,213,704,2352,78,436,Estimated
FY2014,Q3,Oct–Dec 2013,4279,246,669,2532,180,242,Estimated
FY2014,Q4,Jan–Mar 2014,4382,103,505,2652,120,348,Estimated
FY2015,Q1,Apr–Jun 2014,5106,724,1286,2655,3,381,Reported
FY2015,Q2,Jul–Sep 2014,5265,159,1232,2709,54,357,Reported
FY2015,Q3,Oct–Dec 2014,5573,308,1294,2889,180,357,Reported
FY2015,Q4,Jan–Mar 2015,5671,98,1289,2922,33,270,Reported
FY2016,Q1,Apr–Jun 2015,5717,46,611,2976,54,321,Reported
FY2016,Q2,Jul–Sep 2015,5793,76,528,3030,54,321,Reported
FY2016,Q3,Oct–Dec 2015,5680,-113,107,3018,-12,129,Reported
FY2016,Q4,Jan–Mar 2016,5466,-214,-205,2520,-498,-402,Reported
FY2017,Q1,Apr–Jun 2016,5543,77,-174,2049,-471,-927,Reported
FY2017,Q2,Jul–Sep 2016,5682,139,-111,2058,9,-972,Reported
FY2017,Q3,Oct–Dec 2016,5763,81,83,2987,929,-31,Reported
FY2017,Q4,Jan–Mar 2017,5968,205,502,2632,-355,112,Reported
FY2018,Q1,Apr–Jun 2017,6041,73,498,2049,-583,0,Reported
FY2018,Q2,Jul–Sep 2017,6193,152,511,2058,9,0,Reported
FY2018,Q3,Oct–Dec 2017,6043,-150,280,1650,-408,-1337,Reported
FY2018,Q4,Jan–Mar 2018,6037,-6,69,1020,-630,-1612,Reported
FY2019,Q1,Apr–Jun 2018,6418,381,377,940,-80,-1109,Reported (approx.)
FY2019,Q2,Jul–Sep 2018,6871,453,678,655,-285,-1403,Reported (approx.)
FY2019,Q3,Oct–Dec 2018,7177,306,1134,800,145,-850,Reported (approx.)
FY2019,Q4,Jan–Mar 2019,7737,560,1700,968,168,-52,Reported (approx.)
FY2020,Q1,Apr–Jun 2019,8112,375,1694,2327,1359,1387,Reported (approx.)
FY2020,Q2,Jul–Sep 2019,8545,433,1674,2394,67,1739,Reported (approx.)
FY2020,Q3,Oct–Dec 2019,8927,382,1750,3168,774,2368,Reported (approx.)
FY2020,Q4,Jan–Mar 2020,8927,0,1190,269,-2899,-699,Reported (approx.) – COVID provisions
FY2021,Q1,Apr–Jun 2020,9280,353,1168,2599,2330,272,Reported
FY2021,Q2,Jul–Sep 2020,9366,86,821,4251,1652,1857,Reported
FY2021,Q3,Oct–Dec 2020,9912,546,985,4940,689,1772,Reported
FY2021,Q4,Jan–Mar 2021,10431,519,1504,4403,-537,4134,Reported
FY2022,Q1,Apr–Jun 2021,10936,505,1656,4616,213,2017,Reported
FY2022,Q2,Jul–Sep 2021,11690,754,2324,5511,895,1260,Reported
FY2022,Q3,Oct–Dec 2021,12236,546,2324,6194,683,1254,Reported
FY2022,Q4,Jan–Mar 2022,12605,369,2174,7019,825,2616,NII Confirmed; PAT Reported
FY2023,Q1,Apr–Jun 2022,13210,605,2274,6905,-114,2289,Both Confirmed
FY2023,Q2,Jul–Sep 2022,14787,1577,3097,7558,653,2047,Reported
FY2023,Q3,Oct–Dec 2022,16465,1678,4229,8312,754,2118,Reported
FY2023,Q4,Jan–Mar 2023,17667,1202,5062,9122,810,2103,NII Confirmed; PAT Reported
FY2024,Q1,Apr–Jun 2023,18227,560,5017,9648,526,2743,Both Confirmed
FY2024,Q2,Jul–Sep 2023,18308,81,3521,10261,613,2703,Reported
FY2024,Q3,Oct–Dec 2023,18678,370,2213,10272,11,1960,NII Confirmed; PAT Reported
FY2024,Q4,Jan–Mar 2024,19093,415,1426,10708,436,1586,NII Confirmed; PAT Derived
FY2025,Q1,Apr–Jun 2024,19553,460,1326,11059,351,1411,PAT Derived
FY2025,Q2,Jul–Sep 2024,20048,495,1740,11746,687,1485,Both Confirmed
FY2025,Q3,Oct–Dec 2024,20371,323,1693,11792,46,1520,NII Confirmed; PAT Derived
FY2025,Q4,Jan–Mar 2025,21193,822,2100,12630,838,1922,Both Confirmed
FY2026,Q1,Apr–Jun 2025,21000,-193,1447,12768,138,1709,PAT Confirmed
FY2026,Q2,Jul–Sep 2025,21529,529,1481,12359,-409,613,Both Confirmed
FY2026,Q3,Oct–Dec 2025,21932,403,1561,11610,-749,-182,NII Confirmed; PAT Derived
FY2026,Q4,Jan–Mar 2026,22979,1047,1786,13410,1800,780,NII Confirmed; PAT Derived
