Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2018-01-01,769.77,443.86,325.91,2499.42,3799.73,-1300.31,,,
2018-01-02,7658.46,6558.68,1099.78,5001.78,5360.28,-358.5,,,
2018-01-03,5514.41,5272.56,241.85,3323.03,3326.32,-3.29,,,
2018-01-06,4460.24,4663.04,-202.8,3434.78,3096.81,337.97,,,
2018-01-08,4514.0,4609.94,-95.94,3603.37,4165.7,-562.33,,,
2018-01-10,5687.74,7529.37,-1841.63,4948.82,3143.88,1804.94,,,
2018-01-15,5146.96,5114.04,32.92,3864.42,4037.7,-173.28,,,
2018-01-16,8203.03,7509.86,693.17,4002.63,4249.01,-246.38,,,
2018-01-17,7883.29,7258.16,625.13,4688.22,4519.61,168.61,,,
2018-01-18,9014.99,7120.0,1894.99,4396.02,5053.48,-657.46,,,
2018-01-19,6104.97,5116.72,988.25,3716.09,3506.23,209.86,,,
2018-01-22,7002.31,5434.8,1567.51,3583.17,4045.04,-461.87,,,
2018-01-23,8312.42,7083.07,1229.35,6324.24,6155.21,169.03,,,
2018-01-24,7723.45,6947.03,776.42,5435.95,5629.82,-193.87,,,
2018-01-25,9091.88,8154.57,937.31,6756.82,7722.49,-965.67,,,
2018-01-29,8487.54,8195.68,291.86,4620.09,4530.01,90.08,,,
2018-01-30,6182.63,6288.19,-105.56,4636.1,4917.75,-281.65,,,
2018-01-31,7030.47,7167.1,-136.63,5822.73,4528.07,1294.66,,,
2018-02-01,3162.36,2639.62,522.74,3230.34,3165.64,64.7,,,
2018-02-02,7957.38,7007.38,950.0,4945.3,5454.08,-508.78,,,
2018-02-04,4031.89,4721.64,-689.75,2960.72,2547.56,413.16,,,
2018-02-05,6921.85,7447.78,-525.93,3152.94,2987.1,165.84,,,
2018-02-08,4264.91,4904.78,-639.87,2617.19,2957.49,-340.3,,,
2018-02-11,9069.85,9266.75,-196.9,5168.37,4315.38,852.99,,,
2018-02-14,6413.02,7141.73,-728.71,3545.62,3698.01,-152.39,,,
2018-02-15,4272.0,4512.29,-240.29,3024.47,2974.55,49.92,,,
2018-02-16,3104.56,4170.55,-1065.99,3926.11,2798.33,1127.78,,,
2018-02-19,3368.46,4264.25,-895.79,3120.87,2534.35,586.52,,,
2018-02-20,3052.98,3903.33,-850.35,4124.06,2686.82,1437.24,,,
