Date,Exports_Billion_USD,Imports_Billion_USD,Trade_Balance_Billion_USD
2010-01-01,15.90361,26.33688,-10.43328
2010-02-01,16.17476,28.65088,-12.47613
2010-03-01,17.34377,28.40155,-11.05778
2010-04-01,18.46051,32.00498,-13.54447
2010-05-01,17.59421,29.26595,-11.67174
2010-06-01,20.69523,28.82715,-8.131923
2010-07-01,17.32447,29.25055,-11.92608
2010-08-01,18.24081,27.23254,-8.991724
2010-09-01,18.56231,28.85279,-10.29048
2010-10-01,19.77801,32.21243,-12.43442
2010-11-01,23.94446,28.69396,-4.749498
2010-12-01,22.69974,30.53521,-7.835471
2011-01-01,23.21865,34.75339,-11.53474
2011-02-01,23.8356,36.08107,-12.24547
2011-03-01,26.04329,32.84716,-6.803866
2011-04-01,24.23286,37.66941,-13.43655
2011-05-01,26.5686,43.72973,-17.16114
2011-06-01,26.57211,41.13652,-14.56441
2011-07-01,27.42238,41.29108,-13.8687
2011-08-01,25.09699,39.43656,-14.33957
2011-09-01,25.952,38.87216,-12.92016
2011-10-01,24.53764,40.84117,-16.30354
2011-11-01,24.67431,38.8978,-14.22349
2011-12-01,24.99694,39.49382,-14.49688
2012-01-01,25.61108,43.92643,-18.31536
2012-02-01,24.72426,41.34954,-16.62529
2012-03-01,25.07752,41.36823,-16.29071
2012-04-01,24.55767,39.30525,-14.74758
2012-05-01,24.47827,40.05924,-15.58097
2012-06-01,25.36123,37.12228,-11.76106
2012-07-01,23.63406,40.0808,-16.44674
2012-08-01,23.44799,36.79017,-13.34218
2012-09-01,25.04394,42.65855,-17.61461
2012-10-01,24.24547,42.28682,-18.04135
2012-11-01,24.64608,40.22854,-15.58246
2012-12-01,25.42616,43.20855,-17.78238
2013-01-01,25.65525,44.93686,-19.28162
2013-02-01,27.29564,44.58712,-17.29148
2013-03-01,26.98492,40.69742,-13.71249
2013-04-01,24.92233,42.04366,-17.12133
2013-05-01,24.55599,41.80968,-17.25369
2013-06-01,24.81741,36.94182,-12.12442
2013-07-01,26.05614,37.14602,-11.08988
2013-08-01,27.08792,37.17086,-10.08294
2013-09-01,27.86159,34.12023,-6.25864
2013-10-01,27.74369,36.38225,-8.638562
2013-11-01,26.0222,34.19219,-8.169988
2013-12-01,25.93387,36.01872,-10.08485
2014-01-01,26.80611,36.50878,-9.702662
2014-02-01,25.94042,36.79215,-10.85173
2014-03-01,26.85326,41.03615,-14.18289
2014-04-01,26.2168,36.21138,-9.994578
2014-05-01,27.98343,37.85819,-9.874767
2014-06-01,26.43806,39.41705,-12.979
2014-07-01,26.04181,38.8469,-12.80509
2014-08-01,28.00327,38.28936,-10.28609
2014-09-01,28.19128,42.37222,-14.18094
2014-10-01,26.18933,37.70113,-11.5118
2014-11-01,28.90861,44.02717,-15.11855
2014-12-01,25.29174,34.12634,-8.834599
2015-01-01,24.73666,33.0212,-8.284537999999998
2015-02-01,22.50048,31.38525,-8.884766
2015-03-01,20.98492,34.56941,-13.58449
2015-04-01,22.434,33.90709,-11.47309
2015-05-01,22.81042,32.45819,-9.647772
2015-06-01,22.43973,33.85685,-11.41712
2015-07-01,23.49002,35.2811,-11.79108
2015-08-01,22.5481,34.70191,-12.15381
2015-09-01,21.36489,31.32326,-9.958375
2015-10-01,22.04246,30.29453,-8.252065999999997
2015-11-01,21.03274,30.24105,-9.20831
2015-12-01,21.79645,32.89713,-11.10067
2016-01-01,21.83283,30.0931,-8.260267000000002
2016-02-01,20.37739,28.21555,-7.838164
2016-03-01,19.70429,26.16236,-6.458077
2016-04-01,21.41163,26.48213,-5.070497
2016-05-01,22.32821,27.47885,-5.150644
2016-06-01,22.78613,31.23511,-8.448981
2016-07-01,22.56344,29.51299,-6.949546
2016-08-01,21.92714,28.83208,-6.904941
2016-09-01,22.26828,31.13901,-8.870728
2016-10-01,24.40729,34.16304,-9.755745
2016-11-01,21.26857,33.23003,-11.96147
2016-12-01,23.52236,33.97611,-10.45375
2017-01-01,22.72012,33.01731,-10.29719
2017-02-01,24.8248,37.36091,-12.53611
2017-03-01,24.81337,38.25746,-13.44409
2017-04-01,25.54584,40.77292,-15.22708
2017-05-01,23.48976,36.5357,-13.04594
2017-06-01,23.16353,37.46647,-14.30294
2017-07-01,23.20954,34.47998,-11.27044
2017-08-01,23.73466,35.47165,-11.73699
2017-09-01,28.39968,37.82311,-9.423438
2017-10-01,23.61638,36.45694,-12.84056
2017-11-01,27.86976,41.10579,-13.23603
2017-12-01,27.59376,42.01059,-14.41683
2018-01-01,25.47303,40.89373,-15.4207
2018-02-01,26.44609,41.28586,-14.83977
2018-03-01,25.38789,41.74681,-16.35892
2018-04-01,26.52552,41.20438,-14.67886
2018-05-01,28.36493,41.94594,-13.58101
2018-06-01,27.75496,46.18945,-18.43449
2018-07-01,26.42021,43.93279,-17.51258
2018-08-01,28.27281,44.93372,-16.6609
2018-09-01,28.18818,43.45739,-15.26921
2018-10-01,27.16839,42.62597,-15.45757
2018-11-01,27.6492,43.36193,-15.71273
2018-12-01,27.60865,42.30894,-14.70029
2019-01-01,26.4954,41.64571,-15.15031
2019-02-01,27.23633,39.86335,-12.62702
2019-03-01,28.86494,43.40324,-14.5383
2019-04-01,26.17332,42.91402,-16.7407
2019-05-01,29.24052,44.61934,-15.37882
2019-06-01,25.9651,43.13699,-17.17188
2019-07-01,26.5009,39.29927,-12.79837
2019-08-01,26.83263,39.85306,-13.02044
2019-09-01,26.00613,37.56093,-11.5548
2019-10-01,26.73787,36.22145,-9.483583
2019-11-01,27.73803,38.98174,-11.2437
2019-12-01,26.45078,38.81344,-12.36267
2020-01-01,25.9441,41.33367,-15.38956
2020-02-01,27.29662,39.61002,-12.3134
2020-03-01,18.65363,30.69044,-12.03681
2020-04-01,10.20296,17.30229,-7.099327
2020-05-01,19.42434,22.68917,-3.26483
2020-06-01,22.18345,21.63628,0.5471745
2020-07-01,24.00884,28.30948,-4.300642
2020-08-01,23.9361,31.58945,-7.653349
2020-09-01,27.23152,29.85184,-2.620327
2020-10-01,25.83937,33.06836,-7.228985
2020-11-01,25.48213,34.22396,-8.741834
2020-12-01,26.17018,41.30856,-15.13838
2021-01-01,28.47374,43.81237,-15.33864
2021-02-01,27.92017,44.33372,-16.41356
2021-03-01,30.13873,46.79761,-16.65888
2021-04-01,30.76162,46.63424,-15.87262
2021-05-01,32.58038,38.57819,-5.997806
2021-06-01,32.69035,42.74891,-10.05856
2021-07-01,36.37181,45.70955,-9.337746
2021-08-01,34.49058,45.0308,-10.54023
2021-09-01,33.53102,55.03645,-21.50543
2021-10-01,37.66095,52.97317,-15.31223
2021-11-01,33.81699,52.69928,-18.88228
2021-12-01,37.73629,58.04876,-20.31247
2022-01-01,36.42782,54.83714,-18.40932
2022-02-01,37.47024,60.81137,-23.34113
2022-03-01,38.09755,60.36591,-22.26836
2022-04-01,40.21283,59.91103,-19.6982
2022-05-01,38.73974,59.64331,-20.90358
2022-06-01,42.52433,65.37581,-22.85149
2022-07-01,39.87493,64.34322,-24.46829
2022-08-01,37.69231,60.60772,-22.91541
2022-09-01,35.20785,61.94926,-26.74142
2022-10-01,33.36475,57.13482,-23.77007
2022-11-01,37.10007,56.59917,-19.4991
2022-12-01,37.12127,60.01601,-22.89474
2023-01-01,36.45619,54.14082,-17.68463
2023-02-01,37.25426,58.29941,-21.04515
2023-03-01,35.85859,58.28878,-22.43019
2023-04-01,35.52702,51.57356,-16.04654
2023-05-01,34.19141,55.05426,-20.86285
2023-06-01,34.54682,54.08044,-19.53362
2023-07-01,35.92553,53.63297,-17.70745
2023-08-01,39.00262,60.70278,-21.70016
2023-09-01,34.82049,53.98633,-19.16584
2023-10-01,34.79689,60.99706,-26.20018
2023-11-01,35.86617,54.40419,-18.53802
2023-12-01,37.96814,56.85458,-18.88644
2024-01-01,37.43417,54.06182,-16.62766
2024-02-01,39.86002,61.36608,-21.50607
2024-03-01,36.69867,56.22359,-19.52492
2024-04-01,39.58443,55.2215,-15.63707
2024-05-01,37.90353,59.11394,-21.21041
2024-06-01,36.77644,59.08526,-22.30882
2024-07-01,33.08075,57.8573,-24.77655
2024-08-01,34.04274,68.2416,-34.19886
2024-09-01,34.53894,58.44904,-23.9101
2024-10-01,39.97984,61.76559,-21.78575
2024-11-01,34.42819,64.67754,-30.24935
2024-12-01,36.84134,57.33213,-20.49079
2025-01-01,36.44424,59.83257,-23.38833
2025-02-01,37.0757,55.48911,-18.41341
2025-03-01,37.00652,63.04288,-26.03635
2025-04-01,38.04405,66.25371,-28.20966
2025-05-01,37.97725,59.42353,-21.44628
2025-06-01,35.75873,56.05412,-20.29539
2025-07-01,37.47925,63.12196,-25.64272
2025-08-01,36.55499,62.8713,-26.31631
2025-09-01,36.12058,67.51031,-31.38972
2025-10-01,35.05026,72.20695,-37.15669
2025-11-01,41.65471,64.56317,-22.90847
2025-12-01,36.98291,61.23151,-24.2486
