Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2010-01-02,2035.96,2530.62,-494.66,1130.61,930.78,199.83,,,
2010-01-04,2405.62,2299.22,106.4,1665.25,1212.92,452.33,,,
2010-01-06,1801.93,2328.42,-526.49,1220.02,1009.4,210.62,,,
2010-01-07,1549.36,1709.97,-160.61,1153.52,1160.22,-6.7,,,
2010-01-09,2683.31,2323.5,359.81,1210.05,1041.49,168.56,,,
2010-01-10,4563.5,2738.3,1825.2,1594.87,2265.95,-671.08,,,
2010-01-11,3039.5,2327.69,711.81,1631.33,1702.63,-71.3,,,
2010-01-12,3516.48,3024.6,491.88,1250.84,1450.69,-199.85,,,
2010-01-13,3530.52,3816.36,-285.84,1552.01,1429.92,122.09,,,
2010-01-14,3592.26,3904.27,-312.01,2011.35,1482.23,529.12,,,
2010-01-15,2010.27,2940.36,-930.09,1945.99,1265.04,680.95,,,
2010-01-18,2577.75,2424.85,152.9,993.0,1014.46,-21.46,,,
2010-01-19,2123.88,2485.55,-361.67,1396.48,1373.94,22.54,,,
2010-01-20,2655.82,2927.15,-271.33,1803.72,1459.31,344.41,,,
2010-01-21,2673.32,3527.07,-853.75,1810.6,1579.24,231.36,,,
2010-01-22,3068.98,5484.47,-2415.49,3336.17,1382.2,1953.97,,,
2010-01-25,1618.08,2620.68,-1002.6,1783.82,1067.6,716.22,,,
2010-01-27,2942.73,5155.02,-2212.29,3151.18,1675.77,1475.41,,,
2010-01-28,3319.92,6132.98,-2813.06,3113.1,1133.52,1979.58,,,
2010-01-29,2966.14,3962.23,-996.09,2328.14,1317.12,1011.02,,,
2010-02-02,2475.64,2930.65,-455.01,1047.24,1005.31,41.93,,,
2010-02-03,3759.14,2423.82,1335.32,1274.08,2251.44,-977.36,,,
2010-02-06,2220.86,2387.36,-166.5,1331.64,1166.48,165.16,,,
2010-02-07,1809.09,2114.32,-305.23,1019.21,992.95,26.26,,,
2010-02-08,2639.35,1911.21,728.14,810.51,983.31,-172.8,,,
2010-02-09,2036.77,1954.46,82.31,1056.74,1175.02,-118.28,,,
2010-02-11,3334.47,2873.59,460.88,1161.49,1363.73,-202.24,,,
2010-02-12,4114.46,3728.34,386.12,1317.29,1542.33,-225.04,,,
2010-02-15,1659.38,1463.39,195.99,601.93,715.9,-113.97,,,
2010-02-16,1697.46,1311.74,385.72,988.97,1441.71,-452.74,,,
2010-02-17,2371.45,1851.23,520.22,1159.07,961.93,197.14,,,
2010-02-18,1791.04,2142.21,-351.17,829.52,952.19,-122.67,,,
