Date,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr),Nifty_RSI_14,BankNifty_RSI_14,ICICI_RSI_14
2010-01-21,155.03636169433594,5094.14990234375,8919.2998046875,1089.199951171875,46.1,7.566,7.114,3.611000061035156,2.361999988555908,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,25.148824618409492,36.72079164372835,41.493824319576326
2010-01-22,152.8545379638672,5036.0,8772.650390625,1089.199951171875,46.21,7.567,7.152,3.5980000495910645,2.3399999141693115,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,20.746682557850235,29.486751669021928,36.78649148691853
2010-01-25,151.05455017089844,5007.89990234375,8696.599609375,1095.199951171875,46.06,7.583,7.164,3.630000114440918,2.361000061035156,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,19.0145689678301,26.5641306242225,33.41820415142864
2010-01-26,151.05455017089844,5007.89990234375,8696.599609375,1097.9000244140625,46.06,7.583,7.164,3.630000114440918,2.3529999256134033,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,,,
2010-01-27,143.14544677734375,4853.10009765625,8329.7998046875,1084.4000244140625,46.3,7.544,7.139,3.6440000534057617,2.382999897003174,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,12.716159061705213,17.536159502295106,23.315983026568432
2010-01-28,143.2818145751953,4867.25,8423.849609375,1083.5999755859375,46.35,7.549,7.139,3.6579999923706055,2.4089999198913574,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,15.4723601319171,24.6109906055691,23.744015729292897
2010-01-29,150.97271728515625,4882.0498046875,8651.5498046875,1083.0,46.08,7.591,7.154,3.6089999675750737,2.3480000495910645,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,18.375608750340614,38.391968615826144,43.05079847753999
2010-02-01,151.96363830566406,4899.7001953125,8649.25,1104.300048828125,46.27,7.638,7.176,3.6540000438690186,2.375,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,21.824193291863935,38.31578493270335,44.983545379104655
2010-02-02,148.90908813476562,4830.10009765625,8468.150390625,1117.4000244140625,46.11,7.676,7.227,3.634999990463257,2.3570001125335693,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,18.50423733147079,32.796744653202424,40.42873403480221
2010-02-03,152.6272735595703,4931.85009765625,8631.849609375,1111.4000244140625,45.97,7.669,7.227,3.703000068664551,2.4019999504089355,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,34.251036435336175,41.060977452434976,47.40934956460916
2010-02-04,150.69090270996094,4845.35009765625,8471.099609375,1062.4000244140625,46.21,7.693,7.227,3.609999895095825,2.305000066757202,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,29.10280078311476,36.33562771910031,44.4857367773014
2010-02-05,145.11817932128906,4718.64990234375,8223.25,1052.199951171875,46.72,7.678,7.189,3.5460000038146973,2.2149999141693115,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,23.525029136623573,30.506326151665732,37.347636939291384
2010-02-08,146.42727661132812,4760.39990234375,8342.2001953125,1065.699951171875,46.79,7.678,7.176,3.5920000076293945,2.263000011444092,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,28.395071490068247,35.827352584694594,39.79167246444318
2010-02-09,147.70909118652344,4792.64990234375,8392.4501953125,1076.699951171875,46.49,7.701,7.189,3.632999897003174,2.306999921798706,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,31.997506685022216,37.98750761794932,42.170471084730565
2010-02-10,145.41818237304688,4757.2001953125,8290.0,1075.800048828125,46.36,7.788,7.24,3.694000005722046,2.36899995803833,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,30.198994598872066,35.37312133164612,39.19026309769921
2010-02-11,150.19090270996094,4826.85009765625,8381.400390625,1094.199951171875,46.39,7.859,7.291,3.7330000400543217,2.374000072479248,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,37.61805151353275,39.381373125977106,47.51244711384536
2010-02-12,150.19090270996094,4826.85009765625,8381.400390625,1089.5,46.44,7.859,7.291,3.693000078201294,2.3340001106262207,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0,,,
