,ICICI_Close_ret,Nifty_Close_ret,BankNifty_Close_ret,Gold_Close_ret,USD_INR_ret,Bond_10Y_ret,Bond_5Y_ret,US_10Y_ret,US_5Y_ret,FII_Net_chg,DII_Net_chg,CPI_Index_chg,WPI_Index_chg,Trade_Balance_Billion_USD_chg,Repo_Rate_%_chg,CRR_%_chg,Real_GDP_YoY_Growth_%_chg,Net Profit (₹ Cr)_chg,NII (₹ Cr)_chg
2010-01-05,0.0,0.0,0.0,0.0,-0.0030303053491790963,0.003251612411659492,-0.005807538446652852,-0.02264445452692209,-0.03608831616800189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,0.0,0.0,0.0,0.0,-0.008927658643119368,0.004276002627992336,0.004151680472061038,0.014015824276529693,0.005846778052441095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,0.0,0.0,0.0,0.0,-0.0010942117297022826,0.005673042548450136,0.0034466153923265502,0.0036697128351368554,0.010438892839095573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,0.0,0.0,0.0,0.0,-0.0037293012400029207,-0.0006430454854729553,0.0,-0.0036697128351367778,-0.013163148100736885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,0.0,0.0,0.0,0.0,-0.0033021493957591107,-0.0028343229487081713,0.0016501653909579254,0.0026226058162528306,-0.003904725970301076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,0.0,0.0,0.0,0.0,0.005497539959194784,0.006045423261031136,0.0,-0.026271903660991972,-0.029378802154327043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,0.0,0.0,0.0,0.0,-0.0028549486834212406,-0.003983301122895242,0.0,0.017062501509304134,0.019944797771746518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-14,0.0,0.0,0.0,0.0,0.001757855869048138,-0.008663660577872092,-0.005234892792342985,-0.013037307198301137,-0.01873691256040435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,0.0,0.0,0.0,0.0,0.005473467414171907,0.004664429291354972,-0.0016588336676429667,-0.015654799772748248,-0.02691842276460333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,0.0,0.0,0.0,0.0,0.0,-0.016027445826917626,-0.0036036075032985443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,0.0,0.0,0.0,0.0,0.0008729812863449192,0.0028856263465201933,0.0006940107156205398,0.008397692136245779,0.015179852216431521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-20,0.0,0.0,0.0,0.0,0.005655877596118601,-0.0009172509324230681,-0.000694010715620432,-0.013033064655850638,-0.014353367253868087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
