,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr)
2010-01-04,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,46.27,7.676,7.253,3.8410000801086426,2.6519999504089355,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-05,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,46.13,7.701,7.211,3.755000114440918,2.558000087738037,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-06,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.72,7.734,7.241,3.808000087738037,2.572999954223633,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-07,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.67,7.778,7.266,3.822000026702881,2.5999999046325684,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-08,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.5,7.773,7.266,3.808000087738037,2.565999984741211,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-11,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.35,7.751,7.278,3.818000078201294,2.555999994277954,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-12,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.6,7.798,7.278,3.7190001010894775,2.4820001125335693,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-13,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.47,7.767,7.278,3.7829999923706055,2.5320000648498535,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-14,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.55,7.7,7.24,3.7339999675750737,2.484999895095825,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-15,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.8,7.736,7.228,3.6760001182556152,2.4189999103546143,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-18,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.8,7.613,7.202,3.6760001182556152,2.4189999103546143,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-19,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,45.84,7.635,7.207,3.7070000171661377,2.4560000896453857,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-20,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,46.1,7.628,7.202,3.6589999198913574,2.4210000038146973,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
2010-01-21,129.26022338867188,5094.14990234375,8919.1962890625,1089.199951171875,46.1,7.566,7.114,3.611000061035156,2.361999988555908,325.91,-1300.31,65.03028,78.4632109468159,-12.47613,6.0,5.0,10.149064571049893,878.0,2100.0
