,PC1,PC2,PC3,eigenvalue_contribution
Nifty_Close_ret,0.5138307123986902,-0.039104345778776445,-0.11726662009115629,0.5138307123986902
BankNifty_Close_ret,0.5083193116857955,-0.035193276196019585,-0.1189842417542088,0.5083193116857955
USD_INR_ret,-0.349267818153336,0.016486094547658387,0.14595230400076079,0.349267818153336
US_10Y_ret,0.2780347644128138,-0.374673071874838,0.419001910063214,0.2780347644128138
US_5Y_ret,0.26864673701322545,-0.3676931318861057,0.42051937455730076,0.26864673701322545
Bond_5Y_ret,-0.24679389421932071,-0.13732835128244827,0.31596003034812026,0.24679389421932071
Bond_10Y_ret,-0.2272979346517165,-0.14195836130809536,0.3162498327483745,0.2272979346517165
FII_Net_chg,0.16603891925156236,0.15094316170523076,-0.0696381878300581,0.16603891925156236
CPI_Index_chg,0.13223223046125318,0.3961106723126322,0.2976158007438027,0.13223223046125318
WPI_Index_chg,0.1309042623229419,0.26565386655908124,0.23937762003129578,0.1309042623229419
DII_Net_chg,-0.12404417167553314,-0.16097442389476455,0.02338107359963924,0.12404417167553314
NII (₹ Cr)_chg,0.09774714876486167,0.4228378234247379,0.2836532611265012,0.09774714876486167
Net Profit (₹ Cr)_chg,0.04720325656017251,0.3449898997764408,0.20099131357889705,0.04720325656017251
Real_GDP_YoY_Growth_%_chg,0.04603689289451776,-0.14367763873860356,-0.09632667255259678,0.04603689289451776
Trade_Balance_Billion_USD_chg,-0.04239012305708394,0.04555097927360474,0.01534868230871273,0.04239012305708394
Gold_Close_ret,-0.012604994695142159,0.14022791017847314,-0.2639379094015121,0.012604994695142159
CRR_%_chg,-0.010436100283825151,-0.16454174317375803,-0.10287440266415905,0.010436100283825151
Repo_Rate_%_chg,0.0033991429272171763,-0.19731442283553746,-0.1914548446197158,0.0033991429272171763
