,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr),Nifty_RSI_14,BankNifty_RSI_14,ICICI_RSI_14
ICICI_Close,1.0,0.74,0.86,0.03,-0.28,-0.11,-0.15,0.08,0.06,0.08,-0.01,0.0,0.0,0.01,-0.01,0.01,-0.01,-0.0,-0.0,0.22,0.25,0.34
Nifty_Close,0.74,1.0,0.88,0.05,-0.36,-0.11,-0.16,0.11,0.09,0.1,-0.04,0.0,0.0,0.02,0.01,0.01,-0.03,-0.0,-0.0,0.32,0.29,0.28
BankNifty_Close,0.86,0.88,1.0,0.03,-0.34,-0.14,-0.18,0.09,0.07,0.1,-0.02,-0.0,-0.0,0.02,0.0,0.02,-0.02,-0.0,-0.0,0.28,0.33,0.32
Gold_Close,0.03,0.05,0.03,1.0,-0.18,-0.02,-0.03,-0.23,-0.26,0.03,-0.04,0.03,0.02,-0.03,0.04,0.01,-0.01,0.03,0.04,0.02,0.02,0.01
USD_INR,-0.28,-0.36,-0.34,-0.18,1.0,0.17,0.15,-0.06,-0.03,-0.05,0.02,-0.0,0.0,-0.02,-0.03,-0.01,0.01,0.0,-0.0,-0.14,-0.15,-0.14
Bond_10Y,-0.11,-0.11,-0.14,-0.02,0.17,1.0,0.76,0.06,0.05,-0.02,0.02,-0.0,0.0,-0.0,-0.04,0.01,0.01,0.01,0.0,-0.02,-0.03,-0.03
Bond_5Y,-0.15,-0.16,-0.18,-0.03,0.15,0.76,1.0,0.07,0.06,-0.03,0.02,-0.01,-0.0,-0.01,-0.02,-0.0,0.01,0.01,-0.0,-0.03,-0.05,-0.05
US_10Y,0.08,0.11,0.09,-0.23,-0.06,0.06,0.07,1.0,0.94,-0.03,0.02,0.02,0.03,-0.02,0.02,0.02,-0.01,0.02,0.02,0.03,0.02,0.03
US_5Y,0.06,0.09,0.07,-0.26,-0.03,0.05,0.06,0.94,1.0,-0.04,0.02,0.02,0.02,-0.02,0.01,0.02,0.0,0.02,0.01,0.03,0.02,0.03
FII_Net,0.08,0.1,0.1,0.03,-0.05,-0.02,-0.03,-0.03,-0.04,1.0,-0.52,0.0,0.0,-0.0,0.0,-0.01,-0.0,0.0,0.0,0.01,0.01,0.02
DII_Net,-0.01,-0.04,-0.02,-0.04,0.02,0.02,0.02,0.02,0.02,-0.52,1.0,-0.0,-0.0,0.0,-0.0,-0.01,0.01,-0.0,-0.0,-0.02,-0.02,-0.02
CPI_Index,0.0,0.0,-0.0,0.03,-0.0,-0.0,-0.01,0.02,0.02,0.0,-0.0,1.0,0.96,-0.63,-0.01,0.01,-0.16,0.78,0.92,0.05,0.01,0.06
WPI_Index,0.0,0.0,-0.0,0.02,0.0,0.0,-0.0,0.03,0.02,0.0,-0.0,0.96,1.0,-0.71,0.01,0.01,-0.09,0.79,0.89,0.04,0.01,0.07
Trade_Balance_Billion_USD,0.01,0.02,0.02,-0.03,-0.02,-0.0,-0.01,-0.02,-0.02,-0.0,0.0,-0.63,-0.71,1.0,-0.03,0.0,-0.14,-0.72,-0.72,0.1,0.04,0.02
Repo_Rate_%,-0.01,0.01,0.0,0.04,-0.03,-0.04,-0.02,0.02,0.01,0.0,-0.0,-0.01,0.01,-0.03,1.0,0.18,0.01,0.01,0.0,0.02,0.01,0.01
CRR_%,0.01,0.01,0.02,0.01,-0.01,0.01,-0.0,0.02,0.02,-0.01,-0.01,0.01,0.01,0.0,0.18,1.0,0.03,0.0,0.0,0.01,0.02,0.02
Real_GDP_YoY_Growth_%,-0.01,-0.03,-0.02,-0.01,0.01,0.01,0.01,-0.01,0.0,-0.0,0.01,-0.16,-0.09,-0.14,0.01,0.03,1.0,0.05,-0.06,-0.06,0.0,-0.01
Net Profit (₹ Cr),-0.0,-0.0,-0.0,0.03,0.0,0.01,0.01,0.02,0.02,0.0,-0.0,0.78,0.79,-0.72,0.01,0.0,0.05,1.0,0.94,-0.02,0.01,-0.0
NII (₹ Cr),-0.0,-0.0,-0.0,0.04,-0.0,0.0,-0.0,0.02,0.01,0.0,-0.0,0.92,0.89,-0.72,0.0,0.0,-0.06,0.94,1.0,-0.0,0.0,0.02
Nifty_RSI_14,0.22,0.32,0.28,0.02,-0.14,-0.02,-0.03,0.03,0.03,0.01,-0.02,0.05,0.04,0.1,0.02,0.01,-0.06,-0.02,-0.0,1.0,0.87,0.74
BankNifty_RSI_14,0.25,0.29,0.33,0.02,-0.15,-0.03,-0.05,0.02,0.02,0.01,-0.02,0.01,0.01,0.04,0.01,0.02,0.0,0.01,0.0,0.87,1.0,0.83
ICICI_RSI_14,0.34,0.28,0.32,0.01,-0.14,-0.03,-0.05,0.03,0.03,0.02,-0.02,0.06,0.07,0.02,0.01,0.02,-0.01,-0.0,0.02,0.74,0.83,1.0
