,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10
Nifty_Close,-0.012046873507614903,-0.026281931911777714,-0.012393588347918498,-0.015596515450733494,0.04992652664561602,-0.06815632549832043,0.035702463515532766,-0.007743354626427473,0.054143928356187525,0.0110556079005668
BankNifty_Close,0.018879746174866263,-0.025700485766634928,-0.016119489280835616,-0.02503504379790389,0.031893484697043235,-0.0639672917362637,0.01003613342826773,0.0024182923196424838,0.04296813816916588,0.008905920695601302
Gold_Close,0.030901876518524565,0.0017935722686884844,0.022486650026312012,-0.00015110503672547247,0.0010903794589539012,-0.006595244838942476,-0.007135780853180493,-0.011810687169008136,-0.01626885039493859,-0.001202932687097601
USD_INR,-0.06527117657345238,0.012613741852457089,-0.02209836470678916,0.006336202300849863,-0.017211824213134774,0.0313132088575912,0.01430685072090568,-0.020406115756937463,-0.021373223916295207,-0.015015532746342038
Bond_10Y,-0.019414838076449472,-0.01009998373105555,-0.009376452797712861,0.008021823775785378,-0.013314155352967347,0.01116546895799125,0.012947122730031757,0.026892103778473012,-0.02152899601086095,-0.025618692072774733
Bond_5Y,-0.006047798946393908,-0.0019174260945054855,-0.023235828531384756,0.0023363404646238256,-0.016251095242967896,-0.0015045402393650414,-0.010335804150158409,0.015708284502417985,-0.028446612849218973,-0.021394444793248785
US_10Y,0.042383687698718336,0.028319778993918847,-0.0017896269217907417,-0.03541432904891967,-0.0006271666332966276,-0.00942216949063736,0.02149933529255589,-0.0176079083712943,-0.016888528085668156,0.026312068469846423
US_5Y,0.025935775279424273,0.026006902834395502,-0.0005274821267509132,-0.02736278625974895,0.005611121300941556,-0.012056999037947451,0.013818563332737361,-0.015262415525121404,-0.013184251855914889,0.02127638899221453
FII_Net,0.012303700829573314,-0.018892039840546142,-0.0008927070045252407,-0.009492077484233148,0.012824989386356673,-0.00881252579369857,-0.0038043285884203667,-0.02823974455435846,0.03599579553626776,-0.0072445414584133005
DII_Net,0.021314308340787323,-0.008190123955597579,-0.0007919513726137007,-0.011234677270453599,0.026863802584939464,-0.008455824622383472,-0.018456510847644502,0.025886958584357512,-0.015297753847634002,0.03591949677063828
CPI_Index,0.0035443160765823065,0.0032120550324762688,0.002838935119406488,0.0027469757103705905,0.0016415751090944394,0.0017357037447021679,0.0029116391005452897,0.0030207174241665374,0.002577552298487343,0.0030745544309355825
WPI_Index,0.002815170894062,0.0022751942573113956,0.002120962746481655,0.00239711140408742,0.0011826484600324287,0.0009569194278882499,0.001999708414013182,0.002004777896733664,0.0015941471680420535,0.0025597780256180038
Trade_Balance_Billion_USD,0.014361159068341805,0.013831109751685298,0.01542045024656254,0.016430616716251407,0.016333762567328474,0.019237673229097082,0.018931120617542593,0.020300438012716724,0.020023107241477815,0.021242363521339784
Repo_Rate_%,0.013432327540752517,0.014212244584653404,-0.005420033672949852,-0.013949209320038456,-0.0071158960594715995,0.018745065139281716,-0.0036350964111186374,-0.0015075931244112283,0.016666733492092224,0.01026856595811457
CRR_%,0.003095538170256974,0.02738569937753613,0.0003047667228050239,-0.0650180637026154,0.014330816679871003,-0.01776699720408499,-0.01170505018387314,0.001947736663166151,0.0007121525022431557,-0.007134666511380704
Real_GDP_YoY_Growth_%,-0.012120608083556129,-0.009185146561486213,-0.007295622394580323,-0.007633775204044949,-0.004696844196300263,-0.00440363203299903,-0.006426159164914996,-0.0031284380609612546,-0.005270462654230921,-0.004162298476841061
Net Profit (₹ Cr),-0.0037895056457764,-0.003946564311397764,-0.0041748600940122345,-0.0035381047473288445,-0.004734910833160299,-0.0047518359402736595,-0.004365450239156777,-0.004411008562599265,-0.00525988383776953,-0.004622495522321969
NII (₹ Cr),-0.0011065612534274375,-0.0014224993669910053,-0.0017229098357620183,-0.0016894005723157583,-0.002517467932748592,-0.0027390943212290617,-0.002019385066858784,-0.002005162405514028,-0.00225895202589254,-0.0019328844098012606
Nifty_RSI_14,-0.019883258395673422,-0.023542229059070746,-0.004784454358743359,-0.009742639283101408,-8.000488500252946e-05,-0.002632775668494459,0.005878823262847555,0.005649561904837584,0.010539829266200387,-0.0009731113522462692
BankNifty_RSI_14,-0.01709607387699693,-0.028001636985999022,-0.012840661690261436,-0.019633501251913685,-0.01454987083559715,-0.019097279853289028,-0.006958389098353744,0.0018879965560132299,0.0051821436799420134,-0.006021528399620504
ICICI_RSI_14,-0.026529821474669316,-0.03952475524137394,-0.02358292609969256,-0.031713476992158325,-0.02230486354368891,-0.026838834365722212,-0.0199792027527285,-0.01701335368913903,-0.010525837016786043,-0.023004158964006465
