,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10
Nifty_Close,0.03730836239943173,0.04034947381591855,-0.005570210809969414,-0.0015914814151735338,0.02161998555502624,-0.049195448470567435,0.012846603604042184,-0.01452566093852069,0.04110415127508769,0.003244352445486249
BankNifty_Close,0.0565918652607773,0.016338658183568822,-0.005740595533718935,4.4299792432107716e-05,0.021203036301930153,-0.04619462240510917,0.015561614061598917,-0.011109059472625148,0.04182042368021352,0.007685719781007179
Gold_Close,-0.010107976807215835,0.010203470304281414,-0.02965692938489047,0.021895583514458267,-0.005498742854162148,0.0012045384177932432,0.005470297209610473,-0.012941157094630812,0.010205900811663131,-0.02774766505449992
USD_INR,-0.02145496311030815,-0.0047898706658890955,-0.015179415819218514,-0.04027689926648427,-0.0040112423162517044,0.002277231409319535,-0.008997282519985777,-0.004503055832760519,-0.0108724393026042,0.024574533908703983
Bond_10Y,0.0053832135529377195,0.03453801007135642,0.023585425667569604,0.005627997949036508,-0.011620057010687286,-0.017662698489158468,-0.023705286392727565,-0.004189713600453536,0.009087914106327165,0.016003615578737238
Bond_5Y,-0.005195568455187402,0.024594034885125366,0.0004728035259033018,0.02632417641776735,-0.008927796947796279,-0.022082743010299343,-0.01245784040983927,0.014550703968265716,-0.03068094847148487,0.026626007448883868
US_10Y,-0.038711945088210076,0.016828304508611874,0.00999056975449557,-0.031373324948349934,-0.0035588310784746067,-0.002002549796609356,-0.004777903778297619,-0.02575347005950268,0.019794674001689418,0.006938986717553583
US_5Y,-0.03787651562123007,0.025119203395825677,0.01382969370382432,-0.025283273524365293,-0.007085320380873647,-0.00631227987430932,-0.0046760816623104065,-0.02781743062838217,0.018145682103997304,0.00748353816556438
FII_Net,0.016984963430356236,-0.06105896254702118,-0.021159088924770753,-0.004181141751184491,0.025684894652214917,-0.004107011131749106,0.026872751974548865,-0.03379069180929745,0.015408626817321091,0.007297200546644069
DII_Net,-0.07140326161584647,0.010037863536870346,0.024021284838370772,0.01668697405033941,-0.015594798263918947,-0.011345859147645947,-0.020050170426212908,0.02357419264313815,-0.006436162560710245,0.006316979286314154
CPI_Index,0.003372589257878858,0.0036835482696852564,0.0038324492159326944,0.0034066456947312515,0.0035914993823090045,0.0034346757704814433,0.003446145162339308,0.00364794995789459,0.003765165989915217,0.004243032658779565
WPI_Index,0.0030786518281872397,0.0029903093308371073,0.003135650577553212,0.00301493261804305,0.0036217702788087546,0.0038006013621604546,0.0036835079784779557,0.003708964203638047,0.0041171960008401474,0.004508654571109831
Trade_Balance_Billion_USD,0.011079972099191251,0.010574746186907073,0.01167015819693574,0.012128147616118934,0.008431947347838475,0.009036183823104504,0.008952768112571894,0.009554347499850221,0.011445855948332195,0.015909921469286208
Repo_Rate_%,0.028250170450898265,0.002560314602388551,-0.041589447313091214,-0.0031506105951025613,-0.02009595204475729,0.0006072342926607378,0.04972163276097952,0.018879070350713772,0.010129920121495873,-0.01114211004502552
CRR_%,-0.011512173889400817,0.03654783803279516,-0.003546995390716305,0.008718510324785565,-0.022685616676931034,-0.019039752719316825,0.0693467876621516,0.00015916674773358566,-0.0017726285753628913,-0.0044506519676794755
Real_GDP_YoY_Growth_%,-0.013799283163611866,-0.01477208337262357,-0.019283446833101094,-0.0191744792314513,-0.019294895255591814,-0.01368327984480614,-0.01366390273082876,-0.013403213666488598,-0.01207098630502537,-0.00441232050712417
Net Profit (₹ Cr),-0.003571124968216859,-0.004147162933545447,-0.0038272746513521145,-0.004617563996702388,-0.0044260926297720665,-0.004701006632209065,-0.006421013820969983,-0.0058456286202738005,-0.0052067653807748235,-0.003940423850037265
NII (₹ Cr),-0.0009285913668204183,-0.0011665241216554643,-0.0012500742580667731,-0.0019089126038218877,-0.0015991086073905213,-0.0018107814762147775,-0.002027010662490768,-0.0013977682448171045,-0.000977653079210913,-0.0003145428397328576
Nifty_RSI_14,0.21535846152478572,0.21831122164869252,0.2004722842755419,0.1932085130260223,0.17679210589532693,0.16244410083040495,0.15484051505901542,0.13596757062244844,0.12952305981349357,0.118226966724397
BankNifty_RSI_14,0.2523440061973625,0.24017560076237324,0.22353018956147486,0.21410703331520192,0.1974100282843567,0.17722178126675464,0.1665769811814827,0.15040310025926026,0.14754211278604681,0.1329368830920847
ICICI_RSI_14,0.3119005389410656,0.28918782455861985,0.26134885917833367,0.2390382291199581,0.22501660430954687,0.1988585105370125,0.18931191636344658,0.16853151600050414,0.1651457621845832,0.14720776166477642
