"Date","Price","Open","High","Low","Change %"
"05/01/2026","7.018","7.018","7.018","7.018","0.00%"
"04/30/2026","7.018","6.994","7.070","6.994","0.33%"
"04/29/2026","6.995","6.980","7.002","6.975","0.21%"
"04/28/2026","6.980","6.942","6.982","6.942","0.53%"
"04/27/2026","6.943","6.951","6.959","6.932","0.14%"
"04/24/2026","6.933","6.950","6.982","6.933","-0.26%"
"04/23/2026","6.951","6.923","6.960","6.923","0.40%"
"04/22/2026","6.923","6.891","6.923","6.891","0.46%"
"04/21/2026","6.891","6.890","6.894","6.868","0.01%"
"04/20/2026","6.890","6.905","6.924","6.890","-0.22%"
"04/17/2026","6.905","6.891","6.925","6.891","0.19%"
"04/16/2026","6.892","6.865","6.901","6.865","0.39%"
"04/15/2026","6.865","6.938","6.938","6.865","-1.05%"
"04/14/2026","6.938","6.938","6.938","6.938","0.00%"
"04/13/2026","6.938","6.913","6.978","6.874","0.35%"
"04/10/2026","6.914","6.957","7.003","6.904","-0.63%"
"04/09/2026","6.958","6.897","6.971","6.897","0.87%"
"04/08/2026","6.898","7.042","7.042","6.898","-2.04%"
"04/07/2026","7.042","7.043","7.073","7.019","-0.01%"
"04/06/2026","7.043","7.129","7.129","7.043","-1.21%"
"04/03/2026","7.129","7.129","7.129","7.129","0.00%"
