MONTH,FII (INR Crore),,,DII (INR Crore),,,NIFTY
,Buy Amount,Sell Amount,Net Amount,Buy Amount,Sell Amount,Net Amount,
Apr 2026,303387.09,373522.55,-70135.46,377771.28,326707.41,51063.87,"23997.55(30 Apr, 2026)"
"30 Apr, 2026",15049.55,23097.41,-8047.86,18252.89,14765.79,3487.1,23997.55-180.1 (-0.74%)
"29 Apr, 2026",14271.22,16739.64,-2468.42,17232.28,14970.11,2262.17,24177.65181.95 (0.76%)
"28 Apr, 2026",17231.5,19335.24,-2103.74,18044.05,16332.04,1712.01,23995.7-97 (-0.4%)
"27 Apr, 2026",30263.32,31414.8,-1151.48,19978.34,15854.42,4123.92,24092.7194.75 (0.81%)
"24 Apr, 2026",9837.2,18665.07,-8827.87,21560.16,16859.45,4700.71,23897.95-275.1 (-1.14%)
"23 Apr, 2026",12829.12,16083.83,-3254.71,18498.19,17556.84,941.35,24173.05-205.05 (-0.84%)
"22 Apr, 2026",13895.07,15973.43,-2078.36,18704.25,19752.42,-1048.17,24378.1-198.5 (-0.81%)
"21 Apr, 2026",13033.17,14952.16,-1918.99,18366.67,16145.4,2221.27,24576.6211.75 (0.87%)
"20 Apr, 2026",12756.88,13816.81,-1059.93,18753.06,15786.17,2966.89,24364.8511.3 (0.05%)
"17 Apr, 2026",16034.88,15351.68,683.2,17513.99,22235.47,-4721.48,24353.55156.8 (0.65%)
"16 Apr, 2026",16209.44,15827.08,382.36,16538.08,19965.83,-3427.75,24196.75-34.55 (-0.14%)
"15 Apr, 2026",18075.63,17409.48,666.15,18499.57,19068.55,-568.98,24231.3388.65 (1.63%)
"13 Apr, 2026",15382.09,17365.27,-1983.18,16612.03,14179.73,2432.3,23842.65-207.95 (-0.86%)
"10 Apr, 2026",18303.96,17631.87,672.09,15982.46,15572.41,410.05,24050.6275.5 (1.16%)
"09 Apr, 2026",15746.32,17457.51,-1711.19,15968.21,15012.31,955.9,23775.1-222.25 (-0.93%)
"08 Apr, 2026",19092.05,21904.02,-2811.97,29003.39,24835.22,4168.17,23997.35873.7 (3.78%)
"07 Apr, 2026",7953.46,16645.57,-8692.11,20860.09,12880.59,7979.5,23123.65155.4 (0.68%)
"06 Apr, 2026",8837.64,17004.81,-8167.17,20445.57,12356.87,8088.7,22968.25255.15 (1.12%)
"02 Apr, 2026",10626.52,20557.65,-9931.13,18421.27,11212.86,7208.41,22713.133.7 (0.15%)
"01 Apr, 2026",17958.07,26289.22,-8331.15,18536.73,11364.93,7171.8,22679.4348 (1.56%)
,,,,,,,
,,,,,,,
,,,,,,,
Mar 2026,278800.39,401340.8,-122540.41,414657.07,271696.7,142960.37,"22331.4(30 Mar, 2026)"
"30 Mar, 2026",21952.95,33116.01,-11163.06,26358.5,11463.78,14894.72,22331.4-488.2 (-2.14%)
"27 Mar, 2026",20486.39,24853.69,-4367.3,37579.14,34012.99,3566.15,22819.6-486.85 (-2.09%)
"25 Mar, 2026",14547.7,16353.07,-1805.37,22921.89,17492.11,5429.78,23306.45394.05 (1.72%)
"24 Mar, 2026",12406.9,20416.46,-8009.56,21126.99,15259.84,5867.15,22912.4399.75 (1.78%)
"23 Mar, 2026",10330.98,20745.21,-10414.23,25952.98,13919.01,12033.97,22512.65-601.85 (-2.6%)
"20 Mar, 2026",28496.17,34014.56,-5518.39,22938.31,17232.08,5706.23,23114.5112.35 (0.49%)
"19 Mar, 2026",10012.07,17570.26,-7558.19,16926.98,13063.02,3863.96,23002.15-775.65 (-3.26%)
"18 Mar, 2026",12798.8,15513.15,-2714.35,16105.2,12852.17,3253.03,23777.8196.65 (0.83%)
"17 Mar, 2026",11903.71,16644.93,-4741.22,16762.65,11537.33,5225.32,23581.15172.35 (0.74%)
"16 Mar, 2026",11566.51,20932.03,-9365.52,25150.41,12557.05,12593.36,23408.8257.7 (1.11%)
"13 Mar, 2026",11923.16,22639.8,-10716.64,22707.84,12730.42,9977.42,23151.1-488.05 (-2.06%)
"12 Mar, 2026",15373.05,22422.92,-7049.87,19439.56,11989.79,7449.77,23639.15-227.7 (-0.95%)
