Date,Trade_Deficit_Billion_USD
2010-01-01,-10.43328
2010-02-01,-12.47613
2010-03-01,-11.05778
2010-04-01,-13.54447
2010-05-01,-11.67174
2010-06-01,-8.131923
2010-07-01,-11.92608
2010-08-01,-8.991724
2010-09-01,-10.29048
2010-10-01,-12.43442
2010-11-01,-4.749498
2010-12-01,-7.835471
2011-01-01,-11.53474
2011-02-01,-12.24547
2011-03-01,-6.803866
2011-04-01,-13.43655
2011-05-01,-17.16114
2011-06-01,-14.56441
2011-07-01,-13.8687
2011-08-01,-14.33957
2011-09-01,-12.92016
2011-10-01,-16.30354
2011-11-01,-14.22349
2011-12-01,-14.49688
2012-01-01,-18.31536
2012-02-01,-16.62529
2012-03-01,-16.29071
2012-04-01,-14.74758
2012-05-01,-15.58097
2012-06-01,-11.76106
2012-07-01,-16.44674
2012-08-01,-13.34218
2012-09-01,-17.61461
2012-10-01,-18.04135
2012-11-01,-15.58246
2012-12-01,-17.78238
2013-01-01,-19.28162
2013-02-01,-17.29148
2013-03-01,-13.71249
2013-04-01,-17.12133
2013-05-01,-17.25369
2013-06-01,-12.12442
2013-07-01,-11.08988
2013-08-01,-10.08294
2013-09-01,-6.25864
2013-10-01,-8.638562
2013-11-01,-8.169988
2013-12-01,-10.08485
2014-01-01,-9.702662
2014-02-01,-10.85173
2014-03-01,-14.18289
2014-04-01,-9.994578
2014-05-01,-9.874767
2014-06-01,-12.979
2014-07-01,-12.80509
2014-08-01,-10.28609
2014-09-01,-14.18094
2014-10-01,-11.5118
2014-11-01,-15.11855
2014-12-01,-8.834599
2015-01-01,-8.284537999999998
2015-02-01,-8.884766
2015-03-01,-13.58449
2015-04-01,-11.47309
2015-05-01,-9.647772
2015-06-01,-11.41712
2015-07-01,-11.79108
2015-08-01,-12.15381
2015-09-01,-9.958375
2015-10-01,-8.252065999999997
2015-11-01,-9.20831
2015-12-01,-11.10067
2016-01-01,-8.260267000000002
2016-02-01,-7.838164
2016-03-01,-6.458077
2016-04-01,-5.070497
2016-05-01,-5.150644
2016-06-01,-8.448981
2016-07-01,-6.949546
2016-08-01,-6.904941
2016-09-01,-8.870728
2016-10-01,-9.755745
2016-11-01,-11.96147
2016-12-01,-10.45375
2017-01-01,-10.29719
2017-02-01,-12.53611
2017-03-01,-13.44409
2017-04-01,-15.22708
2017-05-01,-13.04594
2017-06-01,-14.30294
2017-07-01,-11.27044
2017-08-01,-11.73699
2017-09-01,-9.423438
2017-10-01,-12.84056
2017-11-01,-13.23603
2017-12-01,-14.41683
2018-01-01,-15.4207
2018-02-01,-14.83977
2018-03-01,-16.35892
2018-04-01,-14.67886
2018-05-01,-13.58101
2018-06-01,-18.43449
2018-07-01,-17.51258
2018-08-01,-16.6609
2018-09-01,-15.26921
2018-10-01,-15.45757
2018-11-01,-15.71273
2018-12-01,-14.70029
2019-01-01,-15.15031
2019-02-01,-12.62702
2019-03-01,-14.5383
2019-04-01,-16.7407
2019-05-01,-15.37882
2019-06-01,-17.17188
2019-07-01,-12.79837
2019-08-01,-13.02044
2019-09-01,-11.5548
2019-10-01,-9.483583
2019-11-01,-11.2437
2019-12-01,-12.36267
2020-01-01,-15.38956
2020-02-01,-12.3134
2020-03-01,-12.03681
2020-04-01,-7.099327
2020-05-01,-3.26483
2020-06-01,0.5471745
2020-07-01,-4.300642
2020-08-01,-7.653349
2020-09-01,-2.620327
2020-10-01,-7.228985
2020-11-01,-8.741834
2020-12-01,-15.13838
2021-01-01,-15.33864
2021-02-01,-16.41356
2021-03-01,-16.65888
2021-04-01,-15.87262
2021-05-01,-5.997806
2021-06-01,-10.05856
2021-07-01,-9.337746
2021-08-01,-10.54023
2021-09-01,-21.50543
2021-10-01,-15.31223
2021-11-01,-18.88228
2021-12-01,-20.31247
2022-01-01,-18.40932
2022-02-01,-23.34113
2022-03-01,-22.26836
2022-04-01,-19.6982
2022-05-01,-20.90358
2022-06-01,-22.85149
2022-07-01,-24.46829
2022-08-01,-22.91541
2022-09-01,-26.74142
2022-10-01,-23.77007
2022-11-01,-19.4991
2022-12-01,-22.89474
2023-01-01,-17.68463
2023-02-01,-21.04515
2023-03-01,-22.43019
2023-04-01,-16.04654
2023-05-01,-20.86285
2023-06-01,-19.53362
2023-07-01,-17.70745
2023-08-01,-21.70016
2023-09-01,-19.16584
2023-10-01,-26.20018
2023-11-01,-18.53802
2023-12-01,-18.88644
2024-01-01,-16.62766
2024-02-01,-21.50607
2024-03-01,-19.52492
2024-04-01,-15.63707
2024-05-01,-21.21041
2024-06-01,-22.30882
2024-07-01,-24.77655
2024-08-01,-34.19886
2024-09-01,-23.9101
2024-10-01,-21.78575
2024-11-01,-30.24935
2024-12-01,-20.49079
2025-01-01,-23.38833
2025-02-01,-18.41341
2025-03-01,-26.03635
2025-04-01,-28.20966
2025-05-01,-21.44628
2025-06-01,-20.29539
2025-07-01,-25.64272
2025-08-01,-26.31631
2025-09-01,-31.38972
2025-10-01,-37.15669
2025-11-01,-22.90847
2025-12-01,-24.2486
