,weight
Nifty_Close,0.49386953735527456
US_5Y,-0.3691473542279327
US_10Y,0.327986227920654
BankNifty_Close,0.31309418820250046
WPI_Index,0.27416739006993013
Bond_5Y,-0.17438508294492688
CPI_Index,-0.13756409507245698
NII (₹ Cr),0.11571590126073442
CRR_%,0.11414973190721582
Repo_Rate_%,0.08857526027045928
Bond_10Y,0.06527231897166089
ICICI_RSI_14,0.04206516740154614
Nifty_RSI_14,-0.041797396239205066
Net Profit (₹ Cr),0.04126423668909506
Real_GDP_YoY_Growth_%,-0.036236476478969847
Trade_Balance_Billion_USD,0.00923527983445996
DII_Net,0.005480605844672613
BankNifty_RSI_14,-0.0053194152135268395
FII_Net,-0.004963137148230503
USD_INR,-0.0019006785660074666
Gold_Close,-0.0002818321063713035
